content_type,total_clicks,total_impressions,unique_urls,ctr_percentage
Safety_megascaled,"221,430","6,930,119","125,115",3.2
Broker_review,"202,575","9,269,135","78,213",2.19
Best,"118,855","4,232,918","38,276",2.81
How_to_buy_shares_and_ETFs_megascaled,"26,512","1,500,580","160,394",1.77
Tools,"23,170","884,231","13,726",2.62
Country_page,"16,786","586,121",407,2.86
Not_reviewed_brokers,"9,578","387,552","116,188",2.47
Education,"7,839","893,161","2,197",0.88
Homepage,"3,646","129,306",41,2.82
Company_name_options_megascaled,"2,536","147,827","19,455",1.72
,"1,882","1,323,781","18,408",0.14
Other,348,"58,074",400,0.6
