content_type,total_clicks,total_impressions,unique_urls,ctr_percentage
Broker_review,"89,737","5,758,514","9,129",1.56
Safety_megascaled,"73,584","3,608,571","19,199",2.04
Best,"60,589","2,408,952","9,731",2.52
Tools,"17,994","547,852","1,759",3.28
Country_page,"13,855","518,409",219,2.67
How_to_buy_shares_and_ETFs_megascaled,"6,115","576,594","15,108",1.06
Homepage,"3,281","124,296",1,2.64
Education,"2,128","670,820",364,0.32
Not_reviewed_brokers,"1,950","79,194","10,930",2.46
Company_name_options_megascaled,861,"65,555","2,452",1.31
Other,274,"47,260",84,0.58
