content_type,total_clicks,total_impressions,unique_urls,ctr_percentage
Broker_review,"118,149","6,935,312","8,408",1.7
Best,"86,092","2,652,206","6,745",3.25
Safety_megascaled,"83,279","3,502,106","19,401",2.38
Tools,"23,182","416,968","1,652",5.56
Country_page,"20,239","596,008",219,3.4
How_to_buy_shares_and_ETFs_megascaled,"7,901","676,970","21,738",1.17
Homepage,"3,809","108,833",1,3.5
Education,"2,792","674,242",368,0.41
Company_name_options_megascaled,"1,112","60,716","3,412",1.83
Not_reviewed_brokers,459,"24,529","5,084",1.87
Other,269,"48,452",84,0.56
