content_type,jan_clicks,jan_impressions,jan_ctr,jan_position,feb_clicks,feb_impressions,feb_ctr,feb_position,clicks_diff,impressions_diff,ctr_diff,position_diff,clicks_pct_change,impressions_pct_change,position_pct_change
Not_reviewed_brokers,1515.0,54584.0,2.78,16.15,7628.0,308358.0,2.47,17.96,6113.0,253774.0,-0.31,-1.81,403.5,464.92,-11.21
Homepage,314.0,3049.0,10.3,22.82,365.0,5010.0,7.29,28.0,51.0,1961.0,-3.01,-5.18,16.24,64.32,-22.7
Other,112.0,13365.0,0.84,32.74,74.0,10814.0,0.68,33.16,-38.0,-2551.0,-0.16,-0.42,-33.93,-19.09,-1.28
Company_name_options_megascaled,2171.0,102162.0,2.13,18.19,1675.0,82272.0,2.04,18.76,-496.0,-19890.0,-0.09,-0.57,-22.85,-19.47,-3.13
Education,6804.0,215653.0,3.16,23.69,5711.0,222341.0,2.57,25.82,-1093.0,6688.0,-0.59,-2.13,-16.06,3.1,-8.99
Country_page,4058.0,74071.0,5.48,14.58,2931.0,67712.0,4.33,16.76,-1127.0,-6359.0,-1.15,-2.18,-27.77,-8.59,-14.95
Tools,6811.0,181462.0,3.75,8.92,5176.0,336379.0,1.54,5.76,-1635.0,154917.0,-2.21,3.16,-24.01,85.37,35.43
How_to_buy_shares_and_ETFs_megascaled,27515.0,1185311.0,2.32,20.27,20397.0,923986.0,2.21,19.01,-7118.0,-261325.0,-0.11,1.26,-25.87,-22.05,6.22
Best,74531.0,1826415.0,4.08,17.81,58266.0,1823966.0,3.19,19.9,-16265.0,-2449.0,-0.89,-2.09,-21.82,-0.13,-11.73
Safety_megascaled,166003.0,3384434.0,4.9,11.38,147846.0,3321548.0,4.45,11.87,-18157.0,-62886.0,-0.45,-0.49,-10.94,-1.86,-4.31
Broker_review,139013.0,3659767.0,3.8,13.09,112838.0,3510621.0,3.21,13.33,-26175.0,-149146.0,-0.59,-0.24,-18.83,-4.08,-1.83
