content_type,jan_clicks,jan_impressions,jan_ctr,feb_clicks,feb_impressions,feb_ctr,clicks_diff,impressions_diff,ctr_diff,clicks_pct_change,impressions_pct_change
Not_reviewed_brokers,1974.0,79113.0,2.5,9578.0,387552.0,2.47,7604.0,308439.0,-0.03,385.21,389.87
Other,381.0,61817.0,0.62,348.0,58074.0,0.6,-33.0,-3743.0,-0.02,-8.66,-6.05
Homepage,4123.0,111882.0,3.69,3646.0,129306.0,2.82,-477.0,17424.0,-0.87,-11.57,15.57
Company_name_options_megascaled,3283.0,162878.0,2.02,2536.0,147827.0,1.72,-747.0,-15051.0,-0.3,-22.75,-9.24
0,2711.0,1532445.0,0.18,1882.0,1323781.0,0.14,-829.0,-208664.0,-0.04,-30.58,-13.62
Education,9596.0,889895.0,1.08,7839.0,893161.0,0.88,-1757.0,3266.0,-0.2,-18.31,0.37
Tools,29993.0,598430.0,5.01,23170.0,884231.0,2.62,-6823.0,285801.0,-2.39,-22.75,47.76
Country_page,24297.0,670079.0,3.63,16786.0,586121.0,2.86,-7511.0,-83958.0,-0.77,-30.91,-12.53
How_to_buy_shares_and_ETFs_megascaled,35416.0,1862281.0,1.9,26512.0,1500580.0,1.77,-8904.0,-361701.0,-0.13,-25.14,-19.42
Safety_megascaled,249282.0,6886540.0,3.62,221430.0,6930119.0,3.2,-27852.0,43579.0,-0.42,-11.17,0.63
Best,160623.0,4478621.0,3.59,118855.0,4232918.0,2.81,-41768.0,-245703.0,-0.78,-26.0,-5.49
Broker_review,257162.0,10595079.0,2.43,202575.0,9269135.0,2.19,-54587.0,-1325944.0,-0.24,-21.23,-12.51
