content_type,jan_clicks,jan_impressions,jan_ctr,jan_position,feb_clicks,feb_impressions,feb_ctr,feb_position,clicks_diff,impressions_diff,ctr_diff,position_diff,clicks_pct_change,impressions_pct_change,position_pct_change
Not_reviewed_brokers,459.0,24529.0,1.87,20.67,1950.0,79194.0,2.46,15.8,1491.0,54665.0,0.59,4.87,324.84,222.86,23.56
Other,269.0,48452.0,0.56,24.86,274.0,47260.0,0.58,23.08,5.0,-1192.0,0.02,1.78,1.86,-2.46,7.16
Company_name_options_megascaled,1112.0,60716.0,1.83,26.78,861.0,65555.0,1.31,28.61,-251.0,4839.0,-0.52,-1.83,-22.57,7.97,-6.83
Homepage,3809.0,108833.0,3.5,44.73,3281.0,124296.0,2.64,44.14,-528.0,15463.0,-0.86,0.59,-13.86,14.21,1.32
Education,2792.0,674242.0,0.41,50.52,2128.0,670820.0,0.32,51.96,-664.0,-3422.0,-0.09,-1.44,-23.78,-0.51,-2.85
How_to_buy_shares_and_ETFs_megascaled,7901.0,676970.0,1.17,28.74,6115.0,576594.0,1.06,28.81,-1786.0,-100376.0,-0.11,-0.07,-22.6,-14.83,-0.24
Tools,23182.0,416968.0,5.56,11.33,17994.0,547852.0,3.28,8.9,-5188.0,130884.0,-2.28,2.43,-22.38,31.39,21.45
Country_page,20239.0,596008.0,3.4,16.16,13855.0,518409.0,2.67,18.28,-6384.0,-77599.0,-0.73,-2.12,-31.54,-13.02,-13.12
Safety_megascaled,83279.0,3502106.0,2.38,14.42,73584.0,3608571.0,2.04,14.34,-9695.0,106465.0,-0.34,0.08,-11.64,3.04,0.55
Best,86092.0,2652206.0,3.25,20.39,60589.0,2408952.0,2.52,23.11,-25503.0,-243254.0,-0.73,-2.72,-29.62,-9.17,-13.34
Broker_review,118149.0,6935312.0,1.7,12.38,89737.0,5758514.0,1.56,12.83,-28412.0,-1176798.0,-0.14,-0.45,-24.05,-16.97,-3.63
