content_type,jan_clicks,jan_impressions,jan_ctr,feb_clicks,feb_impressions,feb_ctr,clicks_diff,impressions_diff,ctr_diff,clicks_pct_change,impressions_pct_change
Not_reviewed_brokers,459.0,24529.0,1.87,1950.0,79194.0,2.46,1491.0,54665.0,0.59,324.84,222.86
Other,269.0,48452.0,0.56,274.0,47260.0,0.58,5.0,-1192.0,0.02,1.86,-2.46
Company_name_options_megascaled,1112.0,60716.0,1.83,861.0,65555.0,1.31,-251.0,4839.0,-0.52,-22.57,7.97
Homepage,3809.0,108833.0,3.5,3281.0,124296.0,2.64,-528.0,15463.0,-0.86,-13.86,14.21
Education,2792.0,674242.0,0.41,2128.0,670820.0,0.32,-664.0,-3422.0,-0.09,-23.78,-0.51
How_to_buy_shares_and_ETFs_megascaled,7901.0,676970.0,1.17,6115.0,576594.0,1.06,-1786.0,-100376.0,-0.11,-22.6,-14.83
Tools,23182.0,416968.0,5.56,17994.0,547852.0,3.28,-5188.0,130884.0,-2.28,-22.38,31.39
Country_page,20239.0,596008.0,3.4,13855.0,518409.0,2.67,-6384.0,-77599.0,-0.73,-31.54,-13.02
Safety_megascaled,83279.0,3502106.0,2.38,73584.0,3608571.0,2.04,-9695.0,106465.0,-0.34,-11.64,3.04
Best,86092.0,2652206.0,3.25,60589.0,2408952.0,2.52,-25503.0,-243254.0,-0.73,-29.62,-9.17
Broker_review,118149.0,6935312.0,1.7,89737.0,5758514.0,1.56,-28412.0,-1176798.0,-0.14,-24.05,-16.97
