content_type,total_clicks,total_impressions,unique_urls,ctr_percentage,total_sum_position,avg_position
Safety_megascaled,"221,430","6,930,119","125,115",3.2,"84,258,429",13.16
Broker_review,"202,575","9,269,135","78,213",2.19,"111,430,583",13.02
Best,"118,855","4,232,918","38,276",2.81,"87,744,040",21.73
How_to_buy_shares_and_ETFs_megascaled,"26,512","1,500,580","160,394",1.77,"32,671,771",22.77
Tools,"23,170","884,231","13,726",2.62,"5,927,833",7.7
Country_page,"16,786","586,121",407,2.86,"10,024,910",18.1
Not_reviewed_brokers,"9,578","387,552","116,188",2.47,"6,400,074",17.51
Education,"7,839","893,161","2,197",0.88,"39,705,289",45.45
Homepage,"3,646","129,306",41,2.82,"5,497,932",43.52
Company_name_options_megascaled,"2,536","147,827","19,455",1.72,"3,271,140",23.13
,"1,882","1,323,781","18,408",0.14,"7,933,575",6.99
Other,348,"58,074",400,0.6,"1,391,287",24.96
