content_type,total_clicks,total_impressions,unique_urls,ctr_percentage,total_sum_position,avg_position
Broker_review,"118,149","6,935,312","8,408",1.7,"78,950,522",12.38
Best,"86,092","2,652,206","6,745",3.25,"51,415,634",20.39
Safety_megascaled,"83,279","3,502,106","19,401",2.38,"47,007,935",14.42
Tools,"23,182","416,968","1,652",5.56,"4,307,438",11.33
Country_page,"20,239","596,008",219,3.4,"9,033,221",16.16
How_to_buy_shares_and_ETFs_megascaled,"7,901","676,970","21,738",1.17,"18,781,322",28.74
Homepage,"3,809","108,833",1,3.5,"4,758,954",44.73
Education,"2,792","674,242",368,0.41,"33,386,918",50.52
Company_name_options_megascaled,"1,112","60,716","3,412",1.83,"1,565,055",26.78
Not_reviewed_brokers,459,"24,529","5,084",1.87,"482,383",20.67
Other,269,"48,452",84,0.56,"1,155,871",24.86
