content_type,total_clicks,total_impressions,unique_urls,ctr_percentage,total_sum_position,avg_position
Safety_megascaled,"147,846","3,321,548","105,916",4.45,"36,116,725",11.87
Broker_review,"112,838","3,510,621","69,084",3.21,"43,281,357",13.33
Best,"58,266","1,823,966","28,545",3.19,"34,470,523",19.9
How_to_buy_shares_and_ETFs_megascaled,"20,397","923,986","145,286",2.21,"16,636,826",19.01
Not_reviewed_brokers,"7,628","308,358","105,258",2.47,"5,228,290",17.96
Education,"5,711","222,341","1,833",2.57,"5,519,447",25.82
Tools,"5,176","336,379","11,967",1.54,"1,599,697",5.76
Country_page,"2,931","67,712",188,4.33,"1,067,182",16.76
Company_name_options_megascaled,"1,675","82,272","17,003",2.04,"1,460,864",18.76
Homepage,365,"5,010",40,7.29,"135,287",28
Other,74,"10,814",316,0.68,"347,751",33.16
