content_type,total_clicks,total_impressions,unique_urls,ctr_percentage,total_sum_position,avg_position
Safety_megascaled,"166,003","3,384,434","136,305",4.9,"35,146,230",11.38
Broker_review,"139,013","3,659,767","66,736",3.8,"44,247,670",13.09
Best,"74,531","1,826,415","8,700",4.08,"30,707,003",17.81
How_to_buy_shares_and_ETFs_megascaled,"27,515","1,185,311","235,828",2.32,"22,839,428",20.27
Tools,"6,811","181,462","13,587",3.75,"1,437,103",8.92
Education,"6,804","215,653","1,966",3.16,"4,893,827",23.69
Country_page,"4,058","74,071",226,5.48,"1,006,207",14.58
Company_name_options_megascaled,"2,171","102,162","24,606",2.13,"1,756,187",18.19
Not_reviewed_brokers,"1,515","54,584","27,202",2.78,"827,217",16.15
Homepage,314,"3,049",34,10.3,"66,524",22.82
Other,112,"13,365",382,0.84,"424,227",32.74
